#Chromosome	Start	End	Name	Summit	Score	ChIP	Control	FoldEnrichment	DistributionScore	FDR
chr13	97435877	97436121	Peak_2750	97435999	10.32	10.63	0.30	35.04	1.00	0.00
chr13	97523443	97523687	Peak_9914	97523565	1.71	1.91	0.20	9.43	1.00	0.21
chr13	97582780	97583024	Peak_7163	97582902	2.85	2.90	0.06	51.91	1.00	0.13
chr13	97965032	97965276	Peak_3118	97965154	8.95	9.24	0.29	31.61	1.00	0.00
chr13	97969525	97969769	Peak_114	97969647	56.67	56.80	0.13	424.04	1.00	0.00
chr13	98025604	98025848	Peak_6753	98025726	3.12	3.21	0.10	32.65	1.00	0.10
chr13	98171244	98171488	Peak_219	98171366	46.43	46.58	0.16	299.66	1.00	0.00
chr13	98262906	98263150	Peak_2710	98263028	10.48	10.69	0.21	51.74	1.00	0.00
chr13	98437892	98438136	Peak_4851	98438014	5.15	5.40	0.25	21.82	1.00	0.00
chr13	98509178	98509422	Peak_4505	98509300	5.70	5.77	0.08	74.96	1.00	0.00
chr13	98561966	98562210	Peak_11295	98562088	1.37	1.71	0.33	5.13	1.00	0.24
chr13	98655954	98656198	Peak_5326	98656076	4.45	4.78	0.33	14.54	1.00	0.04
chr13	98759247	98759491	Peak_8486	98759369	2.18	2.29	0.11	21.56	1.00	0.16
chr13	98815231	98815475	Peak_10252	98815353	1.61	1.66	0.05	33.03	1.00	0.22
chr13	99353166	99353410	Peak_9614	99353288	1.79	2.23	0.44	5.04	1.00	0.18
chr13	99357363	99357607	Peak_7631	99357485	2.58	2.75	0.17	16.18	1.00	0.13
chr13	99398103	99398347	Peak_12367	99398225	1.18	1.36	0.18	7.68	1.00	0.31
chr13	100015611	100015855	Peak_8450	100015733	2.20	2.43	0.24	10.30	1.00	0.17
chr13	100552379	100552623	Peak_4000	100552501	6.62	6.73	0.11	63.21	1.00	0.00
chr13	100666449	100666693	Peak_1929	100666571	14.17	14.41	0.24	59.46	1.00	0.00
chr13	100669816	100670060	Peak_9261	100669938	1.91	2.00	0.09	21.86	1.00	0.16
chr13	100786633	100786877	Peak_6164	100786755	3.58	3.77	0.19	19.83	1.00	0.06
chr13	100833349	100833593	Peak_2841	100833471	10.00	10.16	0.16	63.98	1.00	0.00
chr13	101660161	101660405	Peak_13079	101660283	1.07	1.16	0.08	14.04	1.00	0.34
chr13	102663929	102664173	Peak_12424	102664051	1.18	1.41	0.23	6.03	1.00	0.31
chr13	102756448	102756692	Peak_4362	102756570	5.95	6.06	0.11	57.42	1.00	0.00
chr13	102817155	102817399	Peak_9307	102817277	1.89	1.97	0.08	24.78	1.00	0.16
chr13	102906389	102906633	Peak_10923	102906511	1.45	1.58	0.13	12.41	1.00	0.24
chr13	103140081	103140325	Peak_1391	103140203	18.09	18.27	0.18	102.95	1.00	0.00
chr13	103539591	103539835	Peak_10050	103539713	1.67	1.77	0.10	17.93	1.00	0.21
chr13	104178637	104178881	Peak_11	104178759	100.31	100.57	0.26	391.27	1.00	0.00
chr13	104286901	104287145	Peak_4169	104287023	6.27	6.43	0.16	40.66	1.00	0.00
chr13	104502500	104502744	Peak_9839	104502622	1.73	1.86	0.13	14.03	1.00	0.18
chr13	104518410	104518654	Peak_3335	104518532	8.27	8.49	0.22	37.89	1.00	0.00
chr13	104589999	104590243	Peak_9257	104590121	1.91	2.09	0.18	11.32	1.00	0.16
chr13	104940696	104940940	Peak_7283	104940818	2.76	2.81	0.05	55.87	1.00	0.12
chr13	105081943	105082187	Peak_800	105082065	25.58	25.80	0.22	119.10	1.00	0.00
chr13	105330960	105331204	Peak_9076	105331082	1.97	2.07	0.10	20.08	1.00	0.16
chr13	106537175	106537419	Peak_4322	106537297	6.02	6.14	0.13	49.01	1.00	0.00
chr13	106936953	106937197	Peak_8456	106937075	2.19	2.34	0.15	15.62	1.00	0.17
chr13	107168681	107168925	Peak_5897	107168803	3.83	3.96	0.13	30.60	1.00	0.03
chr13	107662511	107662755	Peak_3618	107662633	7.53	7.62	0.09	81.02	1.00	0.00
chr13	107726648	107726892	Peak_13358	107726770	1.03	1.19	0.15	7.82	1.00	0.35
chr13	107861706	107861950	Peak_5053	107861828	4.86	4.91	0.05	97.56	1.00	0.02
chr13	107870546	107870790	Peak_6107	107870668	3.63	3.77	0.13	28.34	1.00	0.05
chr13	108067577	108067821	Peak_2210	108067699	12.62	12.79	0.18	72.98	1.00	0.00
chr13	108273550	108273794	Peak_8701	108273672	2.10	2.16	0.07	32.03	1.00	0.17
chr13	108326400	108326644	Peak_342	108326522	39.11	39.56	0.45	88.79	1.00	0.00
chr13	108355346	108355590	Peak_7108	108355468	2.88	3.02	0.14	21.04	1.00	0.13
chr13	109091587	109091831	Peak_6206	109091709	3.53	3.64	0.10	35.61	1.00	0.08
chr13	109208035	109208279	Peak_8481	109208157	2.18	2.38	0.20	12.09	1.00	0.16
chr13	109208740	109208984	Peak_7671	109208862	2.56	2.70	0.15	18.54	1.00	0.13
chr13	109240793	109241037	Peak_11745	109240915	1.29	1.45	0.16	8.99	1.00	0.27
chr13	109260757	109261001	Peak_9001	109260879	1.99	2.14	0.14	14.76	1.00	0.17
chr13	109382290	109382534	Peak_7127	109382412	2.87	2.99	0.12	24.79	1.00	0.13
chr13	109406399	109406643	Peak_11385	109406521	1.35	1.51	0.16	9.52	1.00	0.25
chr13	109625544	109625788	Peak_429	109625666	34.93	35.12	0.19	180.32	1.00	0.00
chr13	109809019	109809263	Peak_2633	109809141	10.76	10.85	0.09	122.43	1.00	0.00
chr13	110149043	110149287	Peak_8327	110149165	2.25	2.36	0.11	22.03	1.00	0.17
chr13	110460449	110460693	Peak_10451	110460571	1.56	1.61	0.05	31.86	1.00	0.22
chr13	111725077	111725321	Peak_10222	111725199	1.62	1.72	0.10	17.29	1.00	0.21
chr13	111776620	111776864	Peak_10683	111776742	1.51	1.60	0.10	16.82	1.00	0.22
chr13	112068195	112068439	Peak_4983	112068317	4.95	5.06	0.11	47.21	1.00	0.00
chr13	112258121	112258365	Peak_8719	112258243	2.09	2.23	0.13	16.66	1.00	0.17
chr13	112288334	112288578	Peak_7438	112288456	2.67	2.83	0.16	18.07	1.00	0.13
chr13	112439065	112439309	Peak_9849	112439187	1.73	1.89	0.16	12.05	1.00	0.18
chr13	112607110	112607354	Peak_3775	112607232	7.12	7.35	0.23	31.72	1.00	0.00
chr13	112994244	112994488	Peak_10808	112994366	1.48	1.85	0.37	4.96	1.00	0.24
chr13	113032347	113032591	Peak_10590	113032469	1.53	1.63	0.10	16.08	1.00	0.23
chr13	113041477	113041721	Peak_1638	113041599	15.99	16.16	0.17	97.31	1.00	0.00
chr13	113150933	113151177	Peak_12290	113151055	1.19	1.36	0.17	8.07	1.00	0.32
chr13	113295916	113296160	Peak_10271	113296038	1.61	1.75	0.14	12.57	1.00	0.22
chr13	113516427	113516671	Peak_2546	113516549	11.14	11.32	0.19	60.92	1.00	0.00
chr13	113606200	113606444	Peak_10067	113606322	1.66	1.99	0.33	6.03	1.00	0.21
chr13	113620252	113620496	Peak_3223	113620374	8.61	8.71	0.09	94.04	1.00	0.00
chr13	113700014	113700258	Peak_1434	113700136	17.72	17.83	0.11	160.99	1.00	0.00
chr13	113870497	113870741	Peak_7251	113870619	2.78	3.01	0.23	13.28	1.00	0.12
chr13	114116583	114116827	Peak_11419	114116705	1.35	1.53	0.18	8.41	1.00	0.24
chr13	114346492	114346736	Peak_6887	114346614	3.03	3.09	0.06	54.22	1.00	0.10
chr13	114408849	114409093	Peak_9494	114408971	1.83	2.03	0.20	10.35	1.00	0.16
chr13	114733471	114733715	Peak_5625	114733593	4.10	4.29	0.19	22.76	1.00	0.04
chr13	114818131	114818375	Peak_510	114818253	32.27	32.45	0.19	174.37	1.00	0.00
chr13	114884000	114884244	Peak_9942	114884122	1.70	1.83	0.14	13.34	1.00	0.21
chr13	115090176	115090420	Peak_2162	115090298	12.84	13.07	0.23	56.12	1.00	0.00
chr13	115672788	115673032	Peak_6907	115672910	3.02	3.18	0.16	19.58	1.00	0.12
chr13	115843277	115843521	Peak_1787	115843399	15.06	15.16	0.10	144.63	1.00	0.00
chr13	116738522	116738766	Peak_8134	116738644	2.33	2.43	0.10	25.33	1.00	0.16
chr13	116945255	116945499	Peak_10166	116945377	1.64	1.74	0.10	17.40	1.00	0.21
chr13	119475508	119475752	Peak_13567	119475630	1.01	1.07	0.06	16.62	1.00	0.35
chr13	119839795	119840039	Peak_5616	119839917	4.11	6.56	0.15	44.12	0.64	0.04
chr14	7791005	7791249	Peak_8995	7791127	2.00	2.05	0.06	35.42	1.00	0.17
chr14	7791823	7792067	Peak_10619	7791945	1.52	1.77	0.25	6.98	1.00	0.23
chr14	8002766	8003010	Peak_3874	8002888	6.90	7.20	0.31	23.59	1.00	0.00
chr14	8080375	8080619	Peak_3033	8080497	9.24	9.37	0.13	72.17	1.00	0.00
chr14	8172865	8173109	Peak_8766	8172987	2.07	2.26	0.18	12.36	1.00	0.17
chr14	8406808	8407052	Peak_7399	8406930	2.70	2.85	0.15	19.26	1.00	0.13
chr14	8632297	8632541	Peak_2824	8632419	10.08	10.15	0.07	153.23	1.00	0.00
chr14	8666246	8666490	Peak_1933	8666368	14.13	14.36	0.23	62.09	1.00	0.00
chr14	11844064	11844308	Peak_4136	11844186	6.33	6.38	0.05	126.70	1.00	0.00
chr14	11996466	11996710	Peak_2395	11996588	11.68	11.74	0.06	186.83	1.00	0.00
chr14	12114512	12114756	Peak_12067	12114634	1.24	1.37	0.08	17.87	0.95	0.29
chr14	12284083	12284327	Peak_1680	12284205	15.69	15.85	0.16	97.41	1.00	0.00
chr14	12364275	12364519	Peak_7039	12364397	2.93	3.03	0.10	30.66	1.00	0.11
chr14	13284482	13284726	Peak_6479	13284604	3.31	3.39	0.08	42.68	1.00	0.09
chr14	14309571	14309815	Peak_11613	14309693	1.31	1.42	0.11	12.67	1.00	0.26
chr14	14345596	14345840	Peak_8969	14345718	2.00	2.15	0.15	14.78	1.00	0.17
chr14	15471871	15472115	Peak_10531	15471993	1.54	2.63	0.18	14.30	0.63	0.23
chr14	16243171	16243415	Peak_5256	16243293	4.55	4.77	0.22	21.79	1.00	0.04
chr14	16645474	16645718	Peak_4550	16645596	5.61	5.69	0.08	70.24	1.00	0.00
chr14	17660370	17660614	Peak_11435	17660492	1.34	1.66	0.29	5.76	0.98	0.24
chr14	17713342	17713586	Peak_4962	17713464	4.99	5.05	0.06	78.07	1.00	0.00
chr14	18037500	18037744	Peak_7405	18037622	2.69	2.83	0.14	20.19	1.00	0.13
chr14	18238161	18238405	Peak_8921	18238283	2.02	2.12	0.10	21.14	1.00	0.17
chr14	18238486	18238730	Peak_12972	18238608	1.09	1.15	0.05	22.84	0.99	0.32
chr14	19709333	19709577	Peak_6435	19709455	3.35	3.58	0.23	15.82	1.00	0.08
chr14	19754616	19754860	Peak_2835	19754738	10.01	10.11	0.10	104.73	1.00	0.00
chr14	19776990	19777234	Peak_7320	19777112	2.74	2.98	0.24	12.46	1.00	0.14
chr14	19866833	19867077	Peak_8610	19866955	2.13	2.38	0.25	9.69	1.00	0.16
chr14	19906282	19906526	Peak_12755	19906404	1.12	1.28	0.16	8.01	1.00	0.30
chr14	19948270	19948514	Peak_5351	19948392	4.42	4.57	0.14	31.77	1.00	0.04
chr14	20083082	20083326	Peak_1291	20083204	19.30	19.54	0.24	81.44	1.00	0.00
chr14	20127541	20127785	Peak_1035	20127663	22.28	22.43	0.16	143.33	1.00	0.00
chr14	20181414	20181658	Peak_3019	20181536	9.32	9.63	0.31	30.65	1.00	0.00
chr14	20225659	20225903	Peak_10182	20225781	1.63	1.74	0.11	15.89	1.00	0.21
chr14	20370770	20371014	Peak_6192	20370892	3.55	3.62	0.07	49.00	1.00	0.08
chr14	20479973	20480217	Peak_10812	20480095	1.48	1.62	0.15	11.17	1.00	0.24
chr14	20518934	20519178	Peak_7186	20519056	2.83	2.96	0.13	22.86	1.00	0.13
chr14	20659687	20659931	Peak_6648	20659809	3.19	3.42	0.22	15.21	1.00	0.09
chr14	20674088	20674332	Peak_341	20674210	39.11	39.26	0.14	271.22	1.00	0.00
chr14	20694782	20695026	Peak_1190	20694904	20.27	20.40	0.13	154.34	1.00	0.00
chr14	20695131	20695375	Peak_12153	20695253	1.22	4.65	0.19	24.13	0.27	0.30
chr14	20798092	20798336	Peak_2560	20798214	11.06	11.25	0.19	59.12	1.00	0.00
chr14	21549684	21549928	Peak_7989	21549806	2.41	2.46	0.05	48.76	1.00	0.15
chr14	21552976	21553220	Peak_4006	21553098	6.61	6.86	0.25	27.78	1.00	0.00
chr14	21602206	21602450	Peak_6031	21602328	3.71	3.92	0.22	18.17	1.00	0.03
chr14	21830816	21831060	Peak_7543	21830938	2.62	2.77	0.15	18.19	1.00	0.13
chr14	21836043	21836287	Peak_10813	21836165	1.48	1.58	0.11	15.00	1.00	0.24
chr14	21962200	21962444	Peak_9624	21962322	1.79	1.84	0.05	36.49	1.00	0.18
chr14	21988841	21989085	Peak_13328	21988963	1.04	1.24	0.20	6.12	1.00	0.35
chr14	22806454	22806698	Peak_11377	22806576	1.36	1.49	0.13	11.07	1.00	0.25
chr14	23169523	23169767	Peak_12499	23169645	1.16	1.37	0.20	6.69	1.00	0.31
chr14	24066215	24066459	Peak_5592	24066337	4.13	4.34	0.20	21.32	1.00	0.04
chr14	24145674	24145918	Peak_12434	24145796	1.17	1.33	0.15	9.05	0.99	0.31
chr14	24200671	24200915	Peak_9187	24200793	1.93	2.03	0.10	19.99	1.00	0.16
chr14	24250949	24251193	Peak_9300	24251071	1.89	2.03	0.14	14.72	1.00	0.16
chr14	24556898	24557142	Peak_3898	24557020	6.84	7.01	0.17	41.67	1.00	0.00
chr14	24779376	24779620	Peak_10577	24779498	1.53	1.78	0.25	7.05	1.00	0.23
chr14	25226576	25226820	Peak_11311	25226698	1.37	1.63	0.26	6.19	1.00	0.25
chr14	25338826	25339070	Peak_11502	25338948	1.33	1.40	0.07	20.28	1.00	0.24
chr14	25377892	25378136	Peak_1487	25378014	17.32	17.57	0.26	68.30	1.00	0.00
chr14	25509740	25509984	Peak_1426	25509862	17.78	17.97	0.19	94.32	1.00	0.00
chr14	25585896	25586140	Peak_5018	25586018	4.90	4.95	0.05	96.31	1.00	0.02
chr14	25665628	25665872	Peak_5470	25665750	4.25	4.54	0.29	15.70	1.00	0.04
chr14	25832301	25832545	Peak_8750	25832423	2.08	2.33	0.25	9.28	1.00	0.17
chr14	25841939	25842183	Peak_10663	25842061	1.51	1.66	0.15	11.26	1.00	0.22
chr14	26293714	26293958	Peak_5043	26293836	4.87	5.10	0.23	22.31	1.00	0.02
chr14	26539942	26540186	Peak_10932	26540064	1.45	1.52	0.07	21.01	1.00	0.24
chr14	26901741	26901985	Peak_12461	26901863	1.17	1.49	0.32	4.66	1.00	0.31
chr14	26911762	26912006	Peak_6270	26911884	3.48	3.62	0.14	26.00	1.00	0.08
chr14	26994232	26994476	Peak_11081	26994354	1.42	1.68	0.26	6.34	1.00	0.23
chr14	27038811	27039055	Peak_4331	27038933	6.00	7.29	0.15	48.60	0.84	0.00
chr14	27070893	27071137	Peak_12238	27071015	1.20	1.44	0.24	6.03	1.00	0.31
chr14	27139036	27139280	Peak_346	27139158	38.90	38.99	0.09	448.26	1.00	0.00
chr14	27290935	27291179	Peak_3999	27291057	6.63	6.82	0.20	34.51	1.00	0.00
chr14	27339296	27339540	Peak_7360	27339418	2.72	2.85	0.13	21.31	1.00	0.14
chr14	27396481	27396725	Peak_7825	27396603	2.48	2.60	0.12	21.92	1.00	0.13
chr14	28164986	28165230	Peak_13454	28165108	1.02	1.24	0.22	5.63	1.00	0.35
chr14	28504395	28504639	Peak_5134	28504517	4.75	4.91	0.16	31.16	1.00	0.04
chr14	28774387	28774631	Peak_9756	28774509	1.75	1.86	0.11	17.32	1.00	0.18
chr14	29644012	29644256	Peak_5854	29644134	3.87	3.93	0.06	64.08	1.00	0.03
chr14	29968018	29968262	Peak_10146	29968140	1.64	1.80	0.16	11.09	1.00	0.21
chr14	29978262	29978506	Peak_2116	29978384	13.08	13.22	0.14	91.54	1.00	0.00
chr14	30071866	30072110	Peak_6847	30071988	3.06	3.19	0.13	23.77	1.00	0.10
chr14	30416847	30417091	Peak_7294	30416969	2.75	2.92	0.14	20.19	0.99	0.12
chr14	30479324	30479568	Peak_1042	30479446	22.15	22.34	0.20	112.76	1.00	0.00
chr14	30532059	30532303	Peak_2971	30532181	9.48	9.63	0.16	61.92	1.00	0.00
chr14	30559546	30559790	Peak_3117	30559668	8.96	9.23	0.27	34.26	1.00	0.00
chr14	30873382	30873626	Peak_5832	30873504	3.90	4.01	0.12	34.74	1.00	0.03
chr14	30951312	30951556	Peak_541	30951434	31.51	31.62	0.11	295.77	1.00	0.00
chr14	31018921	31019165	Peak_12700	31019043	1.13	1.31	0.18	7.30	1.00	0.31
chr14	31128934	31129178	Peak_689	31129056	27.50	27.76	0.26	104.87	1.00	0.00
chr14	31206751	31206995	Peak_198	31206873	48.03	48.57	0.54	90.50	1.00	0.00
chr14	31310728	31310972	Peak_1213	31310850	20.04	20.30	0.26	77.31	1.00	0.00
chr14	31383459	31383703	Peak_13518	31383581	1.01	1.21	0.19	6.26	1.00	0.35
chr14	31662011	31662255	Peak_3158	31662133	8.82	9.21	0.40	23.12	1.00	0.00
chr14	31769869	31770113	Peak_7496	31769991	2.64	2.75	0.11	26.09	1.00	0.13
chr14	31895417	31895661	Peak_7150	31895539	2.86	3.22	0.36	8.85	1.00	0.13
chr14	32085250	32085494	Peak_4050	32085372	6.51	6.67	0.16	40.98	1.00	0.00
chr14	32085605	32085849	Peak_87	32085727	61.37	61.86	0.49	126.38	1.00	0.00
chr14	32159723	32159967	Peak_2112	32159845	13.10	13.33	0.23	56.78	1.00	0.00
chr14	32165740	32165984	Peak_1373	32165862	18.28	18.50	0.22	83.18	1.00	0.00
chr14	32388234	32388478	Peak_3928	32388356	6.77	6.92	0.15	46.71	1.00	0.00
chr14	32462817	32463061	Peak_3834	32462939	7.00	7.21	0.21	34.23	1.00	0.00
chr14	32513418	32513662	Peak_2873	32513540	9.85	10.17	0.33	31.05	1.00	0.00
chr14	32614124	32614368	Peak_4348	32614246	5.97	6.10	0.13	48.33	1.00	0.00
chr14	33277573	33277817	Peak_6791	33277695	3.10	3.18	0.08	39.91	1.00	0.10
chr14	33288604	33288848	Peak_5432	33288726	4.31	4.45	0.14	31.94	1.00	0.04
chr14	33325038	33325282	Peak_11426	33325160	1.34	1.65	0.31	5.35	1.00	0.24
chr14	33525611	33525855	Peak_8135	33525733	2.33	2.44	0.11	22.08	1.00	0.16
chr14	33589061	33589305	Peak_4172	33589183	6.26	6.54	0.28	23.61	1.00	0.00
chr14	34195461	34195705	Peak_11850	34195583	1.27	1.54	0.26	5.80	1.00	0.27
chr14	34334014	34334258	Peak_9368	34334136	1.87	2.01	0.14	14.43	1.00	0.16
chr14	34460068	34460312	Peak_4806	34460190	5.22	5.46	0.15	36.38	0.98	0.00
chr14	34644590	34644834	Peak_10987	34644712	1.43	1.49	0.05	28.53	1.00	0.24
chr14	34769707	34769951	Peak_5877	34769829	3.85	4.07	0.22	18.25	1.00	0.03
chr14	34769927	34770171	Peak_3310	34770049	8.35	8.42	0.07	123.73	1.00	0.00
chr14	34810876	34811120	Peak_3279	34810998	8.43	8.71	0.27	32.18	1.00	0.00
chr14	34822863	34823107	Peak_5099	34822985	4.79	5.03	0.25	20.54	1.00	0.02
chr14	34881521	34881765	Peak_9102	34881643	1.96	2.05	0.08	24.29	1.00	0.16
chr14	36968698	36968942	Peak_4155	36968820	6.31	8.86	0.09	95.61	0.72	0.00
chr14	37135343	37135587	Peak_12949	37135465	1.10	1.40	0.31	4.56	1.00	0.32
chr14	37139112	37139356	Peak_13197	37139234	1.06	1.22	0.17	7.34	1.00	0.33
chr14	37472531	37472775	Peak_11920	37472653	1.26	1.44	0.18	7.82	1.00	0.27
chr14	38035022	38035266	Peak_11982	38035144	1.25	1.35	0.10	13.64	1.00	0.27
chr14	40323999	40324243	Peak_7883	40324121	2.45	2.50	0.05	49.59	1.00	0.14
chr14	41013701	41013945	Peak_435	41013823	34.75	35.05	0.30	116.63	1.00	0.00
chr14	43925087	43925331	Peak_5421	43925209	4.32	4.42	0.10	43.11	1.00	0.04
chr14	44248021	44248265	Peak_9641	44248143	1.78	1.86	0.08	23.75	1.00	0.18
chr14	45219411	45219655	Peak_11109	45219533	1.41	1.57	0.16	9.68	1.00	0.23
chr14	45440339	45440583	Peak_13562	45440461	1.01	1.09	0.08	13.01	1.00	0.35
chr14	45451142	45451386	Peak_5544	45451264	4.18	4.33	0.15	28.84	1.00	0.04
chr14	46196400	46196644	Peak_11412	46196522	1.35	1.55	0.20	7.72	1.00	0.24
chr14	46339881	46340125	Peak_11205	46340003	1.39	1.44	0.05	28.63	1.00	0.23
chr14	46346124	46346368	Peak_12777	46346246	1.12	1.31	0.19	7.04	1.00	0.30
chr14	46575083	46575327	Peak_1755	46575205	15.26	15.42	0.16	95.80	1.00	0.00
chr14	46704248	46704492	Peak_3763	46704370	7.15	7.35	0.20	36.36	1.00	0.00
chr14	46981943	46982187	Peak_7736	46982065	2.53	2.58	0.06	45.18	1.00	0.13
chr14	47365187	47365431	Peak_7568	47365309	2.61	2.79	0.18	15.15	1.00	0.13
chr14	47374388	47374632	Peak_9009	47374510	1.99	2.34	0.35	6.62	1.00	0.17
chr14	47430498	47430742	Peak_12634	47430620	1.14	1.34	0.20	6.85	1.00	0.31
chr14	47568480	47568724	Peak_4514	47568602	5.68	5.77	0.08	68.84	1.00	0.00
chr14	47981839	47982083	Peak_4200	47981961	6.22	6.42	0.20	31.43	1.00	0.00
chr14	48267605	48267849	Peak_6992	48267727	2.96	3.06	0.10	29.64	1.00	0.11
chr14	48619327	48619571	Peak_9691	48619449	1.77	1.88	0.11	17.62	1.00	0.19
chr14	48632403	48632647	Peak_1014	48632525	22.43	22.50	0.07	330.86	1.00	0.00
chr14	48673985	48674229	Peak_12645	48674107	1.14	1.48	0.34	4.39	1.00	0.31
chr14	48704289	48704533	Peak_11721	48704411	1.29	1.48	0.19	7.96	1.00	0.26
chr14	49124120	49124364	Peak_9851	49124242	1.73	1.78	0.05	35.32	1.00	0.18
chr14	49238397	49238641	Peak_5848	49238519	3.87	3.92	0.05	77.89	1.00	0.03
chr14	49446486	49446730	Peak_8824	49446608	2.05	2.21	0.15	14.41	1.00	0.17
chr14	50061923	50062167	Peak_9915	50062045	1.70	1.76	0.06	30.25	1.00	0.21
chr14	50795569	50795813	Peak_2181	50795691	12.76	12.92	0.16	83.23	1.00	0.00
chr14	50807794	50808038	Peak_4320	50807916	6.02	6.35	0.33	19.30	1.00	0.00
chr14	50870325	50870569	Peak_10084	50870447	1.66	1.91	0.26	7.48	1.00	0.21
chr14	51434674	51434918	Peak_6699	51434796	3.16	3.29	0.13	25.57	1.00	0.09
chr14	51738841	51739085	Peak_6139	51738963	3.60	3.65	0.05	72.49	1.00	0.05
chr14	51884589	51884833	Peak_11616	51884711	1.31	1.75	0.44	3.95	1.00	0.26
chr14	51994255	51994499	Peak_7276	51994377	2.77	2.90	0.13	22.01	1.00	0.12
chr14	51997709	51997953	Peak_11990	51997831	1.25	1.56	0.31	5.02	1.00	0.27
chr14	52104223	52104467	Peak_9832	52104345	1.73	1.82	0.09	20.68	1.00	0.18
chr14	52119283	52119527	Peak_10877	52119405	1.46	1.73	0.27	6.32	1.00	0.24
chr14	52244448	52244692	Peak_4659	52244570	5.45	5.74	0.30	19.43	1.00	0.00
chr14	52284296	52284540	Peak_12534	52284418	1.16	1.26	0.11	11.98	1.00	0.31
chr14	52396657	52396901	Peak_7034	52396779	2.93	3.13	0.21	15.16	1.00	0.11
chr14	54161992	54162236	Peak_3189	54162114	8.71	8.93	0.22	41.51	1.00	0.00
chr14	54253928	54254172	Peak_1130	54254050	21.21	21.26	0.05	422.10	1.00	0.00
chr14	54360701	54360945	Peak_602	54360823	29.68	30.04	0.37	82.03	1.00	0.00
chr14	54553854	54554098	Peak_6381	54553976	3.40	3.49	0.10	36.22	1.00	0.08
chr14	54554541	54554785	Peak_1231	54554663	19.83	20.04	0.20	97.94	1.00	0.00
chr14	54575550	54575794	Peak_8622	54575672	2.13	2.45	0.32	7.58	1.00	0.16
chr14	54686051	54686295	Peak_1211	54686173	20.07	20.38	0.32	64.46	1.00	0.00
chr14	54686327	54686571	Peak_11534	54686449	1.32	2.59	0.16	16.69	0.54	0.25
chr14	54701839	54702083	Peak_7582	54701961	2.60	2.66	0.05	52.71	1.00	0.13
chr14	54710527	54710771	Peak_10317	54710649	1.59	1.82	0.22	8.13	1.00	0.22
chr14	54786917	54787161	Peak_4454	54787039	5.79	5.84	0.05	115.18	1.00	0.00
chr14	54813937	54814181	Peak_2878	54814059	9.82	9.97	0.11	88.99	1.00	0.00
chr14	54956408	54956652	Peak_7264	54956530	2.77	2.96	0.19	15.81	1.00	0.12
chr14	55002648	55002892	Peak_8323	55002770	2.25	2.49	0.24	10.50	1.00	0.17
chr14	55064849	55065093	Peak_11478	55064971	1.34	1.56	0.22	7.01	1.00	0.24
chr14	55092315	55092559	Peak_4650	55092437	5.46	5.69	0.23	24.54	1.00	0.00
chr14	55106205	55106449	Peak_1418	55106327	17.89	18.15	0.26	68.85	1.00	0.00
chr14	55169831	55170075	Peak_12191	55169953	1.21	1.37	0.16	8.73	1.00	0.29
chr14	55345145	55345389	Peak_9916	55345267	1.70	1.76	0.05	34.44	1.00	0.21
chr14	55372768	55373012	Peak_6778	55372890	3.10	3.20	0.09	33.90	1.00	0.10
chr14	55428899	55429143	Peak_7278	55429021	2.77	2.87	0.10	27.90	1.00	0.12
chr14	55432178	55432422	Peak_13206	55432300	1.06	1.12	0.06	17.39	1.00	0.33
chr14	55538249	55538493	Peak_10678	55538371	1.51	1.72	0.21	8.15	1.00	0.22
chr14	55559889	55560133	Peak_2725	55560011	10.42	10.64	0.22	48.92	1.00	0.00
chr14	55585213	55585457	Peak_4884	55585335	5.08	5.24	0.16	33.78	1.00	0.00
chr14	55633936	55634180	Peak_12180	55634058	1.22	1.44	0.22	6.41	1.00	0.29
chr14	55760221	55760465	Peak_5237	55760343	4.59	4.81	0.23	21.20	1.00	0.04
chr14	55887138	55887382	Peak_12568	55887260	1.15	1.41	0.26	5.45	1.00	0.31
chr14	55900105	55900349	Peak_2606	55900227	10.88	11.06	0.18	60.38	1.00	0.00
chr14	56571814	56572058	Peak_1816	56571936	14.90	15.08	0.18	84.64	1.00	0.00
chr14	56778277	56778521	Peak_1450	56778399	17.60	17.90	0.30	59.51	1.00	0.00
chr14	56833329	56833573	Peak_1541	56833451	16.80	16.99	0.18	92.11	1.00	0.00
chr14	57345312	57345556	Peak_5226	57345434	4.60	4.80	0.19	24.73	1.00	0.04
chr14	57480367	57480611	Peak_8521	57480489	2.17	2.36	0.19	12.30	1.00	0.16
chr14	57571403	57571647	Peak_1345	57571525	18.64	18.81	0.17	111.01	1.00	0.00
chr14	57714503	57714747	Peak_4776	57714625	5.27	5.50	0.23	23.82	1.00	0.00
chr14	57797955	57798199	Peak_89	57798077	61.14	61.51	0.37	165.68	1.00	0.00
chr14	57826045	57826289	Peak_888	57826167	24.19	24.49	0.30	80.60	1.00	0.00
chr14	57889539	57889783	Peak_8645	57889661	2.12	2.43	0.31	7.76	1.00	0.16
chr14	57920680	57920924	Peak_1973	57920802	13.84	14.09	0.25	55.95	1.00	0.00
chr14	58282743	58282987	Peak_11145	58282865	1.40	1.67	0.27	6.26	1.00	0.23
chr14	58741379	58741623	Peak_1328	58741501	18.71	18.91	0.19	98.77	1.00	0.00
chr14	59076241	59076485	Peak_6787	59076363	3.10	3.33	0.23	14.54	1.00	0.10
